Data,Knots,Years,median_df,lower_df,upper_df,run_time
Washington O2 data from trawl survey,30,2009-2015,8.1,,,2-3 hrs
Washington and Oregon O2 data from trawl survey,75,2009-2015,6.017,2.06,17.43,1 day * (really 1.5 days but machine was turned off + on during)
